date;Uzbekistan
22.01.2020;
23.01.2020;
24.01.2020;
25.01.2020;
26.01.2020;
27.01.2020;
28.01.2020;
29.01.2020;
30.01.2020;
31.01.2020;
01.02.2020;
02.02.2020;
03.02.2020;
04.02.2020;
05.02.2020;
06.02.2020;
07.02.2020;
08.02.2020;
09.02.2020;
10.02.2020;
11.02.2020;
12.02.2020;
13.02.2020;
14.02.2020;
15.02.2020;
16.02.2020;
17.02.2020;
18.02.2020;
19.02.2020;
20.02.2020;
21.02.2020;
22.02.2020;
23.02.2020;
24.02.2020;
25.02.2020;
26.02.2020;
27.02.2020;
28.02.2020;
29.02.2020;
01.03.2020;
02.03.2020;
03.03.2020;
04.03.2020;
05.03.2020;
06.03.2020;
07.03.2020;
08.03.2020;
09.03.2020;
10.03.2020;
11.03.2020;
12.03.2020;
13.03.2020;
14.03.2020;
15.03.2020;1
16.03.2020;5
17.03.2020;4
18.03.2020;5
19.03.2020;8
20.03.2020;10
21.03.2020;10
22.03.2020;0
23.03.2020;3
24.03.2020;4
25.03.2020;10
26.03.2020;15
27.03.2020;13
28.03.2020;16
29.03.2020;40
30.03.2020;5
31.03.2020;23
01.04.2020;9
02.04.2020;24
03.04.2020;22
04.04.2020;39
05.04.2020;76
06.04.2020;115
07.04.2020;63
08.04.2020;25
09.04.2020;37
10.04.2020;42
11.04.2020;143
12.04.2020;98
13.04.2020;133
14.04.2020;167
15.04.2020;137
16.04.2020;47
17.04.2020;56
18.04.2020;85
19.04.2020;75
20.04.2020;62
21.04.2020;51
22.04.2020;38
23.04.2020;42
24.04.2020;46
25.04.2020;58
26.04.2020;7
27.04.2020;35
28.04.2020;35
29.04.2020;63
30.04.2020;37
01.05.2020;47
02.05.2020;32
03.05.2020;31
04.05.2020;40
05.05.2020;18
06.05.2020;26
07.05.2020;65
08.05.2020;27
09.05.2020;24
10.05.2020;69
11.05.2020;68
12.05.2020;33
13.05.2020;93
14.05.2020;33
15.05.2020;41
16.05.2020;52
17.05.2020;15
18.05.2020;38
19.05.2020;64
20.05.2020;84
21.05.2020;25
22.05.2020;64
23.05.2020;87
24.05.2020;49
25.05.2020;25
26.05.2020;101
27.05.2020;79
28.05.2020;75
29.05.2020;24
30.05.2020;78
31.05.2020;77
01.06.2020;79
02.06.2020;58
03.06.2020;83
04.06.2020;96
05.06.2020;68
06.06.2020;87
07.06.2020;237
08.06.2020;109
09.06.2020;80
10.06.2020;103
11.06.2020;118
12.06.2020;128
13.06.2020;97
14.06.2020;114
15.06.2020;183
16.06.2020;230
17.06.2020;189
18.06.2020;85
19.06.2020;179
20.06.2020;207
21.06.2020;162
22.06.2020;146
23.06.2020;201
24.06.2020;328
25.06.2020;187
26.06.2020;250
27.06.2020;255
28.06.2020;266
29.06.2020;274
30.06.2020;281
01.07.2020;278
02.07.2020;297
03.07.2020;318
